N,area_wide,area_small,error_wide,error_small
100,1.119990,0.987500,0.185781,0.045508
600,1.119990,0.904167,0.185781,0.042721
1100,0.814538,0.925000,0.137614,0.020664
1600,0.901242,0.944531,0.045817,0.000015
2100,1.026658,0.932143,0.086965,0.013101
2600,1.141528,0.940865,0.208584,0.003866
3100,0.930314,0.956048,0.015037,0.012209
3600,0.812771,0.938194,0.139486,0.006694
4100,0.935601,0.946037,0.009439,0.001609
4600,0.885644,0.960870,0.062331,0.017313
5100,0.856463,0.941422,0.093227,0.003277
5600,0.929992,0.952232,0.015379,0.008168
6100,0.940975,0.941598,0.003750,0.003090
6600,0.897265,0.953977,0.050028,0.010016
7100,0.983935,0.950352,0.041733,0.006178
7600,0.944992,0.958059,0.000502,0.014338
8100,1.042213,0.938735,0.103435,0.006122
8600,0.939294,0.949709,0.005530,0.005497
9100,0.918453,0.939423,0.027595,0.005393
9600,0.867701,0.942318,0.081329,0.002329
10100,0.916229,0.944554,0.029949,0.000039
10600,0.982633,0.939976,0.040355,0.004808
11100,0.985036,0.946396,0.042899,0.001990
11600,0.913613,0.941272,0.032720,0.003436
12100,0.937182,0.942562,0.007766,0.002070
12600,0.908881,0.948810,0.037730,0.004544
13100,0.944724,0.945229,0.000219,0.000754
13600,0.935727,0.943934,0.009307,0.000618
14100,0.890630,0.948404,0.057052,0.004115
14600,0.874513,0.935788,0.074117,0.009242
15100,0.954031,0.944371,0.010073,0.000155
15600,0.944992,0.940064,0.000502,0.004715
16100,0.888688,0.940450,0.059109,0.004306
16600,0.982521,0.944880,0.040237,0.000384
17100,0.926775,0.942544,0.018784,0.002089
17600,0.947378,0.954901,0.003029,0.010993
18100,0.924301,0.948688,0.021404,0.004416
18600,0.906229,0.946976,0.040538,0.002603
19100,0.946274,0.945746,0.001860,0.001301
19600,0.933563,0.945153,0.011598,0.000673
20100,0.927753,0.949067,0.017749,0.004817
20600,0.943293,0.945692,0.001297,0.001244
21100,0.941508,0.947216,0.003186,0.002857
21600,0.935269,0.945602,0.009791,0.001148
22100,0.952752,0.940045,0.008718,0.004735
22600,0.953354,0.944967,0.009356,0.000476
23100,0.952113,0.945563,0.008042,0.001107
23600,0.931941,0.948782,0.013315,0.004515
24100,0.930033,0.941753,0.015335,0.002926
24600,0.934463,0.945224,0.010645,0.000748
25100,0.962143,0.945568,0.018661,0.001112
25600,0.916007,0.944971,0.030184,0.000480
26100,0.901141,0.946600,0.045924,0.002205
26600,0.931571,0.944455,0.013707,0.000066
27100,0.929364,0.946448,0.016043,0.002045
27600,0.960716,0.942482,0.017150,0.002155
28100,0.957572,0.943817,0.013821,0.000742
28600,0.954047,0.945236,0.010090,0.000761
29100,0.907346,0.940464,0.039355,0.004291
29600,0.940262,0.938767,0.004505,0.006088
30100,0.943713,0.950291,0.000852,0.006113
30600,0.955743,0.941667,0.011885,0.003018
31100,0.957934,0.943690,0.014205,0.000876
31600,0.946321,0.940585,0.001909,0.004163
32100,0.930708,0.947430,0.014620,0.003084
32600,0.930605,0.948083,0.014729,0.003775
33100,0.961804,0.941616,0.018302,0.003071
33600,0.944158,0.941629,0.000380,0.003057
34100,0.936883,0.951466,0.008082,0.007357
34600,0.924963,0.942124,0.020703,0.002533
35100,0.934123,0.946296,0.011005,0.001884
35600,0.946565,0.945822,0.002168,0.001381
36100,0.924535,0.940824,0.021156,0.003910
36600,0.924145,0.942964,0.021569,0.001644
37100,0.929426,0.946496,0.015978,0.002095
37600,0.963981,0.945080,0.020607,0.000596
38100,0.952432,0.945801,0.008380,0.001359
38600,0.940821,0.942908,0.003914,0.001704
39100,0.974621,0.943318,0.031872,0.001269
39600,0.925901,0.944034,0.019710,0.000511
40100,0.934256,0.946041,0.010864,0.001613
40600,0.914130,0.941964,0.032172,0.002703
41100,0.929578,0.948540,0.015817,0.004259
41600,0.916386,0.943480,0.029784,0.001099
42100,0.987972,0.944863,0.046008,0.000367
42600,0.914264,0.941050,0.032030,0.003670
43100,0.936790,0.948115,0.008181,0.003809
43600,0.938891,0.944008,0.005957,0.000539
44100,0.964118,0.950000,0.020753,0.005805
44600,0.955193,0.946328,0.011303,0.001918
45100,0.944604,0.940438,0.000091,0.004319
45600,0.929948,0.946217,0.015425,0.001800
46100,0.937779,0.943980,0.007134,0.000568
46600,0.971880,0.946379,0.028970,0.001971
47100,0.947295,0.944559,0.002941,0.000045
47600,0.938227,0.942988,0.006660,0.001619
48100,0.949430,0.946856,0.005202,0.002476
48600,0.965876,0.940278,0.022614,0.004488
49100,0.937507,0.946232,0.007422,0.001816
49600,0.937088,0.946497,0.007865,0.002096
50100,0.960431,0.943014,0.016848,0.001592
50600,0.979715,0.946640,0.037265,0.002248
51100,0.938074,0.943444,0.006822,0.001136
51600,0.970767,0.946899,0.027791,0.002522
52100,0.959301,0.946809,0.015652,0.002426
52600,0.968014,0.944938,0.024877,0.000446
53100,0.917770,0.945480,0.028319,0.001020
53600,0.949432,0.944240,0.005203,0.000294
54100,0.946609,0.943299,0.002215,0.001289
54600,0.983325,0.942697,0.041087,0.001927
55100,0.974402,0.945826,0.031640,0.001385
55600,0.954056,0.946628,0.010099,0.002234
56100,0.954537,0.946390,0.010608,0.001983
56600,0.940416,0.947725,0.004342,0.003397
57100,0.947627,0.945665,0.003293,0.001216
57600,0.964436,0.944097,0.021089,0.000445
58100,0.922160,0.946859,0.023670,0.002479
58600,0.953234,0.946907,0.009229,0.002530
59100,0.949433,0.938431,0.005205,0.006444
59600,0.945696,0.943310,0.001248,0.001279
60100,0.937596,0.947816,0.007328,0.003493
60600,0.936097,0.941440,0.008914,0.003258
61100,0.931645,0.945704,0.013629,0.001256
61600,0.946583,0.947808,0.002187,0.003485
62100,0.936707,0.944304,0.008269,0.000226
62600,0.957180,0.947644,0.013407,0.003310
63100,0.958470,0.943879,0.014773,0.000676
63600,0.959520,0.942708,0.015884,0.001915
64100,0.966887,0.944345,0.023684,0.000183
64600,0.934264,0.942589,0.010855,0.002041
65100,0.963862,0.942934,0.020482,0.001676
65600,0.945632,0.943826,0.001180,0.000732
66100,0.938267,0.943400,0.006617,0.001183
66600,0.959181,0.942736,0.015525,0.001885
67100,0.987294,0.944989,0.045289,0.000499
67600,0.962802,0.941272,0.019359,0.003436
68100,0.908245,0.943300,0.038403,0.001288
68600,0.944481,0.942748,0.000038,0.001873
69100,0.934000,0.947124,0.011135,0.002760
69600,0.942980,0.945959,0.001627,0.001527
70100,0.935256,0.944365,0.009806,0.000161
70600,0.936366,0.944795,0.008630,0.000294
71100,0.965814,0.942862,0.022548,0.001752
71600,0.935411,0.947957,0.009641,0.003642
72100,0.948729,0.947226,0.004460,0.002868
72600,0.937567,0.943629,0.007358,0.000940
73100,0.943412,0.945913,0.001171,0.001478
73600,0.949367,0.944378,0.005134,0.000147
74100,0.954108,0.942679,0.010154,0.001946
74600,0.967981,0.945124,0.024842,0.000642
75100,0.943640,0.945323,0.000929,0.000853
75600,0.933140,0.945503,0.012046,0.001043
76100,0.956076,0.944777,0.012237,0.000275
76600,0.949104,0.942983,0.004856,0.001624
77100,0.944401,0.944212,0.000123,0.000323
77600,0.963935,0.946343,0.020558,0.001934
78100,0.948263,0.945375,0.003966,0.000908
78600,0.950068,0.942637,0.005877,0.001991
79100,0.930965,0.943774,0.014348,0.000787
79600,0.970670,0.944943,0.027689,0.000451
80100,0.939967,0.942868,0.004818,0.001746
80600,0.934830,0.945999,0.010256,0.001569
81100,0.958068,0.948227,0.014347,0.003928
81600,0.949281,0.947794,0.005043,0.003469
82100,0.953219,0.946422,0.009213,0.002017
82600,0.953720,0.947049,0.009744,0.002681
83100,0.923891,0.943306,0.021838,0.001282
83600,0.940638,0.944423,0.004107,0.000100
84100,0.934546,0.946864,0.010557,0.002485
84600,0.944247,0.942745,0.000286,0.001876
85100,0.950873,0.944183,0.006729,0.000353
85600,0.938123,0.940625,0.006770,0.004121
86100,0.928772,0.946792,0.016670,0.002408
86600,0.936666,0.943663,0.008312,0.000904
87100,0.952667,0.946484,0.008628,0.002082
87600,0.945471,0.943679,0.001010,0.000888
88100,0.942489,0.946680,0.002148,0.002290
88600,0.953761,0.941676,0.009787,0.003008
89100,0.957051,0.942607,0.013270,0.002023
89600,0.931554,0.945047,0.013724,0.000561
90100,0.936795,0.944256,0.008176,0.000276
90600,0.932707,0.943985,0.012504,0.000564
91100,0.946183,0.945362,0.001763,0.000895
91600,0.961192,0.943654,0.017655,0.000913
92100,0.927853,0.944218,0.017643,0.000317
92600,0.948544,0.943737,0.004264,0.000827
93100,0.929465,0.944616,0.015936,0.000105
93600,0.949927,0.944191,0.005728,0.000346
94100,0.928068,0.943677,0.017415,0.000890
94600,0.938554,0.941755,0.006313,0.002925
95100,0.942894,0.945728,0.001719,0.001282
95600,0.937377,0.944626,0.007560,0.000115
96100,0.948961,0.943119,0.004705,0.001480
96600,0.947963,0.943077,0.003648,0.001525
97100,0.958797,0.948378,0.015118,0.004088
97600,0.965504,0.942303,0.022219,0.002344
98100,0.950022,0.943948,0.005828,0.000603
98600,0.934556,0.944384,0.010547,0.000141
